name,lat,lon,phone,address
CAI Villa del Sur,3.4191,-76.5133,3105155709,"Diagonal 23 # 26B-00, Villa Del Sur, Cali"
CAI San Marino,3.4633,-76.4952,3105325024,"Cl. 69 # 7C-4, San Marino / Fepicol, Cali"
ESTACION DE POLICIA  EL GUABAL,3.4258,-76.5298,3105325103,"Cra. 44 # 14B-49, El Guabal, Cali"
CAI Mojica,3.4189,-76.4862,3105238713,"Cl. 82 # 28D-1, El Poblado II / Mojica, Cali"
CAI Paso del Comercio,3.4795,-76.4921,3105305902,"Cra. 1 Nte. con Cl. 73, Paso del Comercio, Cali"
CAI PETAR,3.4786,-76.4816,3105296263,"Cl. 73 con Cra. 4 Nte, Petar / Comuna 6, Cali"
CAI San Antonio,3.4449,-76.5442,3014670733,"Cra. 10 con Cl. 1 Oeste, San Cayetano, Cali"
CAI Loma de la Cruz,3.4426,-76.5414,3105287733,"Calle 5 con Carrera 16, Comuna 3, Cali"
CAI SAN NICOLAS,3.4542,-76.5248,3105312699,"Calle 20 esquina con Carrera 6, San Nicolás, Cali"
CAI Obrero,3.4518,-76.5217,3105273858,"Carrera 11B con Calle 22, El Obrero, Cali"
CAI Chipichape,3.4754,-76.5273,3105304022,"Avenida 6N con Calle 35N, San Vicente / Chipichape, Cali"
CAI La Merced,3.4839,-76.5135,3105315875,"Avenida 2N con Calle 52N, La Merced, Cali"
CAI Plaza Norte,3.4852,-76.5161,3105316935,"Avenida 3N con Calle 55N, La Merced / Vipasa, Cali"
CAI AMBIENTAL,3.4503,-76.5615,3105325691,"Vía al Mar, Arboledas / Santa Teresita, Cali"
CAI El Cortijo,3.4187,-76.5492,3105325624,"Carrera 51 # 7-33, Lleras Camargo / El Cortijo, Cali"
CAI GALERIAS,3.3852,-76.5255,3105300623,"Calle 18 con Carrera 85, Comuna 17, Cali"
CAI Valle del Lili,3.3768,-76.5186,3105334949,"Carrera 98B con Calle 45, Valle del Lili, Cali"
CAI Puertas del Sol,3.4215,-76.4752,3105260610,"Calle 89 con Carrera 26, Puertas del Sol, Cali"
CAI MANUELA BELTRAN,3.4241,-76.4695,3105257104,"Carrera 26J # 112-53, Manuela Beltrán, Cali"
CAI Bonilla Aragon,3.4262,-76.4796,3105335172,"Carrera 28 con Calle 96, Alfonso Bonilla Aragón, Cali"
ESTACION DE POLICIA  MUNICIPAL,3.4475,-76.5118,3105183700,"Carrera 13 con Calle 33A, Comuna 8, Cali"
ESTACION DE POLICIA  SAN FRANCISCO,3.4691,-76.5184,3105337785,"Carrera 1 Norte # 33N-00, Ignacio Rengifo, Cali"
Estación de Policía Candelaria,3.4078,-76.3496,#N/A,"Carrera 6 # 7-118, Candelaria, Valle"
Subestación Subestación Cabuyal,3.4479,-76.3785,#N/A,"Corregimiento El Cabuyal, Candelaria, Valle"
Subestación de Policía Villa Gorgona,3.4144,-76.3911,#N/A,"Carrera 13 # 12-14, Villa Gorgona, Candelaria"
Subestación de Policía El Carmelo,3.3912,-76.4215,#N/A,"Carrera 10A # 15-36, El Carmelo, Candelaria"
Subestación de Policía San Joaquín,3.3653,-76.3861,#N/A,"Corregimiento San Joaquín, Candelaria, Valle"
Subestación de Policía Juanchito,3.4497,-76.4746,#N/A,"Carrera 8 # 93-58, Sector Juanchito, Cali/Candelaria"
CAI Pizamos,3.4149,-76.4678,3105121055,"Carrera 28D # 121-00, Pizamos II, Cali"
CAI Potrero Grande,3.4253,-76.4651,3105228869,"Calle 123 con Carrera 28D, Potrero Grande, Cali"
CAI Pondaje,3.4194,-76.4912,3105304916,"Carrera 28G con Calle 72U, El Pondaje, Cali"
CAI Charco Azul,3.4348,-76.4839,3105279235,"Diagonal 70C # 22-10, Siete de Agosto / Charco Azul, Cali"
CAI Bellavista,3.4478,-76.5541,3105298507,"Avenida 4 Oeste con Calle 10, Bellavista, Cali"
CAI Panamericano,3.4158,-76.5518,3105289879,"Calle 2 Oeste con Carrera 52, Siloé / Tierra Blanca, Cali"
CAI Los Cerros,3.4124,-76.5498,3105325584,"Carrera 56 con Calle 2 Oeste, Los Cerros / Siloé, Cali"
CAI Cristo Rey,3.4321,-76.5658,3105331599,"Monumento a Cristo Rey, Cerro de los Cristales, Cali"
CAI JARDIN BOTANICO,3.4533,-76.5592,3105295346,"Avenida 4 Oeste con Calle 14, San Antonio / Arboledas, Cali"
SUBESTACION DE POLICIA PICHINDE,3.4402,-76.6214,3508191673,"Corregimiento de Pichindé, zona rural de Cali"
