conflictividad,year,month,count
Amenaza,2010,1,44
Amenaza,2010,2,38
Amenaza,2010,3,24
Amenaza,2010,4,16
Amenaza,2010,5,53
Amenaza,2010,6,27
Amenaza,2010,7,17
Amenaza,2010,8,11
Amenaza,2010,9,27
Amenaza,2010,10,19
Amenaza,2010,11,14
Amenaza,2010,12,17
Amenaza,2011,1,33
Amenaza,2011,2,27
Amenaza,2011,3,57
Amenaza,2011,4,17
Amenaza,2011,5,18
Amenaza,2011,6,18
Amenaza,2011,7,45
Amenaza,2011,8,71
Amenaza,2011,9,33
Amenaza,2011,10,50
Amenaza,2011,11,45
Amenaza,2011,12,13
Amenaza,2013,1,48
Amenaza,2013,2,71
Amenaza,2013,3,46
Amenaza,2013,4,16
Amenaza,2013,5,47
Amenaza,2013,6,11
Amenaza,2013,7,26
Amenaza,2013,8,15
Amenaza,2013,9,5
Amenaza,2013,10,1
Amenaza,2014,1,79
Amenaza,2014,2,51
Amenaza,2014,3,111
Amenaza,2014,4,99
Amenaza,2014,5,97
Amenaza,2014,6,10
Amenaza,2014,7,3
Amenaza,2014,8,17
Amenaza,2014,9,128
Amenaza,2014,10,113
Amenaza,2014,11,28
Amenaza,2014,12,44
Amenaza,2015,1,115
Amenaza,2015,2,175
Amenaza,2015,3,149
Amenaza,2015,4,158
Amenaza,2015,5,140
Amenaza,2015,6,131
Amenaza,2015,7,154
Amenaza,2015,8,178
Amenaza,2015,9,143
Amenaza,2015,10,136
Amenaza,2015,11,114
Amenaza,2015,12,117
Amenaza,2016,1,107
Amenaza,2016,2,85
Amenaza,2016,3,37
Amenaza,2016,4,5
Amenaza,2016,5,28
Amenaza,2016,6,111
Amenaza,2016,7,106
Amenaza,2016,8,113
Amenaza,2016,9,98
Amenaza,2016,10,46
Amenaza,2016,11,28
Amenaza,2016,12,35
Amenaza,2017,1,95
Amenaza,2017,2,97
Amenaza,2017,3,99
Amenaza,2017,4,92
Amenaza,2017,5,134
Amenaza,2017,6,100
Amenaza,2017,7,97
Amenaza,2017,8,135
Amenaza,2017,9,162
Amenaza,2017,10,90
Amenaza,2017,11,93
Amenaza,2017,12,22
Amenaza,2018,1,146
Amenaza,2018,2,179
Amenaza,2018,3,195
Amenaza,2018,4,188
Amenaza,2018,5,191
Amenaza,2018,6,185
Amenaza,2018,7,252
Amenaza,2018,8,322
Amenaza,2018,9,235
Amenaza,2018,10,215
Amenaza,2018,11,161
Amenaza,2018,12,122
Amenaza,2019,1,59
Amenaza,2019,2,36
Delito sexual,2010,1,16
Delito sexual,2010,2,11
Delito sexual,2010,3,17
Delito sexual,2010,4,13
Delito sexual,2010,5,14
Delito sexual,2010,6,8
Delito sexual,2010,7,10
Delito sexual,2010,8,18
Delito sexual,2010,9,10
Delito sexual,2010,10,9
Delito sexual,2010,11,12
Delito sexual,2010,12,9
Delito sexual,2011,1,16
Delito sexual,2011,2,16
Delito sexual,2011,3,17
Delito sexual,2011,4,28
Delito sexual,2011,5,20
Delito sexual,2011,6,15
Delito sexual,2011,7,30
Delito sexual,2011,8,23
Delito sexual,2011,9,31
Delito sexual,2011,10,27
Delito sexual,2011,11,11
Delito sexual,2011,12,14
Delito sexual,2012,1,28
Delito sexual,2012,2,29
Delito sexual,2012,3,16
Delito sexual,2012,4,19
Delito sexual,2012,5,30
Delito sexual,2012,6,14
Delito sexual,2012,7,11
Delito sexual,2012,8,11
Delito sexual,2012,9,17
Delito sexual,2012,10,7
Delito sexual,2012,11,12
Delito sexual,2012,12,8
Delito sexual,2013,1,28
Delito sexual,2013,2,28
Delito sexual,2013,3,16
Delito sexual,2013,4,14
Delito sexual,2013,5,32
Delito sexual,2013,6,32
Delito sexual,2013,7,35
Delito sexual,2013,8,35
Delito sexual,2013,9,30
Delito sexual,2013,10,38
Delito sexual,2013,11,14
Delito sexual,2013,12,11
Delito sexual,2014,1,38
Delito sexual,2014,2,23
Delito sexual,2014,3,22
Delito sexual,2014,4,42
Delito sexual,2014,5,46
Delito sexual,2014,6,24
Delito sexual,2014,7,13
Delito sexual,2014,8,11
Delito sexual,2014,9,35
Delito sexual,2014,10,19
Delito sexual,2014,11,20
Delito sexual,2014,12,20
Delito sexual,2015,1,41
Delito sexual,2015,2,52
Delito sexual,2015,3,26
Delito sexual,2015,4,52
Delito sexual,2015,5,64
Delito sexual,2015,6,37
Delito sexual,2015,7,43
Delito sexual,2015,8,50
Delito sexual,2015,9,70
Delito sexual,2015,10,77
Delito sexual,2015,11,50
Delito sexual,2015,12,38
Delito sexual,2016,1,50
Delito sexual,2016,2,54
Delito sexual,2016,3,34
Delito sexual,2016,4,50
Delito sexual,2016,5,50
Delito sexual,2016,6,54
Delito sexual,2016,7,55
Delito sexual,2016,8,49
Delito sexual,2016,9,38
Delito sexual,2016,10,66
Delito sexual,2016,11,50
Delito sexual,2016,12,39
Delito sexual,2017,1,29
Delito sexual,2017,2,48
Delito sexual,2017,3,50
Delito sexual,2017,4,34
Delito sexual,2017,5,65
Delito sexual,2017,6,82
Delito sexual,2017,7,58
Delito sexual,2017,8,53
Delito sexual,2017,9,66
Delito sexual,2017,10,45
Delito sexual,2017,11,39
Delito sexual,2017,12,32
Delito sexual,2018,1,69
Delito sexual,2018,2,47
Delito sexual,2018,3,77
Delito sexual,2018,4,71
Delito sexual,2018,5,55
Delito sexual,2018,6,60
Delito sexual,2018,7,58
Delito sexual,2018,8,43
Delito sexual,2018,9,57
Delito sexual,2018,10,21
Delito sexual,2019,1,43
Delito sexual,2019,2,24
Delito sexual,2019,3,5
Delito sexual,2019,4,1
Delito sexual,2019,5,3
Delito sexual,2019,6,2
Delito sexual,2019,7,2
Delito sexual,2019,8,5
Delito sexual,2019,9,3
Delito sexual,2019,10,1
Delito sexual,2019,11,2
Homicidio,2010,1,110
Homicidio,2010,2,105
Homicidio,2010,3,120
Homicidio,2010,4,107
Homicidio,2010,5,110
Homicidio,2010,6,115
Homicidio,2010,7,116
Homicidio,2010,8,116
Homicidio,2010,9,112
Homicidio,2010,10,130
Homicidio,2010,11,135
Homicidio,2010,12,103
Homicidio,2011,1,132
Homicidio,2011,2,125
Homicidio,2011,3,120
Homicidio,2011,4,138
Homicidio,2011,5,167
Homicidio,2011,6,111
Homicidio,2011,7,103
Homicidio,2011,8,125
Homicidio,2011,9,134
Homicidio,2011,10,113
Homicidio,2011,11,97
Homicidio,2011,12,167
Homicidio,2012,1,121
Homicidio,2012,2,85
Homicidio,2012,3,141
Homicidio,2012,4,111
Homicidio,2012,5,135
Homicidio,2012,6,108
Homicidio,2012,7,139
Homicidio,2012,8,135
Homicidio,2012,9,147
Homicidio,2012,10,109
Homicidio,2012,11,138
Homicidio,2012,12,197
Homicidio,2013,1,153
Homicidio,2013,2,113
Homicidio,2013,3,135
Homicidio,2013,4,127
Homicidio,2013,5,151
Homicidio,2013,6,176
Homicidio,2013,7,144
Homicidio,2013,8,151
Homicidio,2013,9,156
Homicidio,2013,10,137
Homicidio,2013,11,113
Homicidio,2013,12,129
Homicidio,2014,1,98
Homicidio,2014,2,110
Homicidio,2014,3,119
Homicidio,2014,4,101
Homicidio,2014,5,92
Homicidio,2014,6,110
Homicidio,2014,7,109
Homicidio,2014,8,93
Homicidio,2014,9,120
Homicidio,2014,10,113
Homicidio,2014,11,127
Homicidio,2014,12,142
Homicidio,2015,1,113
Homicidio,2015,2,68
Homicidio,2015,3,84
Homicidio,2015,4,103
Homicidio,2015,5,101
Homicidio,2015,6,110
Homicidio,2015,7,107
Homicidio,2015,8,78
Homicidio,2015,9,83
Homicidio,2015,10,98
Homicidio,2015,11,83
Homicidio,2015,12,154
Homicidio,2016,1,119
Homicidio,2016,2,93
Homicidio,2016,3,89
Homicidio,2016,4,101
Homicidio,2016,5,96
Homicidio,2016,6,99
Homicidio,2016,7,85
Homicidio,2016,8,90
Homicidio,2016,9,86
Homicidio,2016,10,85
Homicidio,2016,11,82
Homicidio,2016,12,89
Homicidio,2017,1,95
Homicidio,2017,2,78
Homicidio,2017,3,83
Homicidio,2017,4,78
Homicidio,2017,5,87
Homicidio,2017,6,89
Homicidio,2017,7,102
Homicidio,2017,8,74
Homicidio,2017,9,67
Homicidio,2017,10,98
Homicidio,2017,11,77
Homicidio,2017,12,128
Homicidio,2018,1,92
Homicidio,2018,2,73
Homicidio,2018,3,110
Homicidio,2018,4,103
Homicidio,2018,5,81
Homicidio,2018,6,70
Homicidio,2018,7,82
Homicidio,2018,8,86
Homicidio,2018,9,70
Homicidio,2018,10,69
Homicidio,2018,11,83
Homicidio,2018,12,97
Homicidio,2019,1,26
Homicidio,2019,2,38
Hurto persona,2010,1,446
Hurto persona,2010,2,492
Hurto persona,2010,3,523
Hurto persona,2010,4,465
Hurto persona,2010,5,486
Hurto persona,2010,6,445
Hurto persona,2010,7,502
Hurto persona,2010,8,480
Hurto persona,2010,9,513
Hurto persona,2010,10,460
Hurto persona,2010,11,453
Hurto persona,2010,12,406
Hurto persona,2011,1,432
Hurto persona,2011,2,476
Hurto persona,2011,3,614
Hurto persona,2011,4,548
Hurto persona,2011,5,628
Hurto persona,2011,6,546
Hurto persona,2011,7,481
Hurto persona,2011,8,620
Hurto persona,2011,9,551
Hurto persona,2011,10,646
Hurto persona,2011,11,491
Hurto persona,2011,12,528
Hurto persona,2012,1,498
Hurto persona,2012,2,584
Hurto persona,2012,3,582
Hurto persona,2012,4,513
Hurto persona,2012,5,549
Hurto persona,2012,6,465
Hurto persona,2012,7,510
Hurto persona,2012,8,539
Hurto persona,2012,9,589
Hurto persona,2012,10,544
Hurto persona,2012,11,457
Hurto persona,2012,12,525
Hurto persona,2013,1,581
Hurto persona,2013,2,712
Hurto persona,2013,3,716
Hurto persona,2013,4,737
Hurto persona,2013,5,679
Hurto persona,2013,6,683
Hurto persona,2013,7,684
Hurto persona,2013,8,640
Hurto persona,2013,9,717
Hurto persona,2013,10,747
Hurto persona,2013,11,570
Hurto persona,2013,12,547
Hurto persona,2014,1,504
Hurto persona,2014,2,632
Hurto persona,2014,3,737
Hurto persona,2014,4,698
Hurto persona,2014,5,835
Hurto persona,2014,6,594
