estacion,cai,codigo,cuadrante,phone
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000001,001,3105155709
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000002,002,3105141219
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000003,003,3105127351
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000004,004,3105154678
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000005,005,3105141277
ESTACION DE POLICIA  AGUABLANCA,CAI VILLA DEL SUR,MECALMNVCCD02E05C01000006,006,3014655005
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000001,001,3105325024
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000002,002,3105275985
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000003,003,3105325547
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000004,004,3105316683
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000005,005,3105313456
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000006,006,3105275957
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000007,007,3105324133
ESTACION DE POLICIA  ALFONSO LOPEZ,CAI SAN MARINO,MECALMNVCCD02E03C01000008,008,3014655443
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000001,001,3105325103
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000002,002,3105271704
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000003,003,3105302744
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000004,004,3105324230
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000005,005,3105327644
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000006,006,3105278199
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000007,007,3105227908
ESTACION DE POLICIA  EL GUABAL,ESTACION DE POLICIA  EL GUABAL,MECALMNVCCD03E01000000008,008,3014380286
ESTACION DE POLICIA  EL VALLADO,CAI MOJICA,MECALMNVCCD04E03C01000001,001,3105238713
ESTACION DE POLICIA  EL VALLADO,CAI MOJICA,MECALMNVCCD04E03C01000002,002,3105326346
ESTACION DE POLICIA  EL VALLADO,CAI MOJICA,MECALMNVCCD04E03C01000003,003,3105322238
