name,lat,lon,phone,address
IPS Sura Paso Ancho Cali,3.40868,-76.53498,3314925,"Entrada A La CL13, Cra. 50 #12A-90, Cali, Valle del Cauca"
Fundación Valle del Lili,3.37275,-76.52563,3319090,"Cl. 25 #95-207 a 95-161, Comuna 17, Cali, Valle del Cauca"
Clínica Nueva de Cali SAS Sede La Quinta,3.44795,-76.53607,3865300,CALLE 6 # 8-16
Clínica Cristo Rey Cali,3.46192,-76.52668,3876910,"Calle 23 Norte # 3N - 71, Cali, Valle del Cauca"
Hospital Isaias Duarte Cancino Empresa Social del Estado,3.41133,-76.48561,4140707,"Mojica II, Cra 28E3, El Poblado II, Cali, Valle del Cauca"
Centro Médico Ip Salud SAS,3.41788,-76.49428,4365309,"Cra. 28f #72U-62, Cali, Valle del Cauca"
AIP Asistencia Inmediata al Paciente,3.42716,-76.48184,4369430,"Dg. 26M #80-15, Marroquin II, Cali, Valle del Cauca"
Clínica Oriente LTDA UBA,3.45239,-76.49389,4853170,"Cl. 58 #8-73 a 8-1, Comuna 8, Cali, Valle del Cauca"
Hospital San Juan de Dios,3.4549,-76.52778,4892222,"Cra. 4 #17-67, COMUNA 3, Cali, Valle del Cauca"
Clínica Farallones S.A.,3.41006,-76.53953,4896070,"Camino Real, Cl 9 C #50-25, panamericano, Cali, Valle del Cauca"
Clínica Rey David,3.42695,-76.53852,5185000,"Cra. 34 #7-00, Eucaristico, Cali, Valle del Cauca"
Clínica Med SAS,3.42675,-76.54408,5240170,"calle 5B3#38-44, Cra. 38 #5B2-34, San Fernando, Cali, Valle del Cauca"
Servicio de Salud Inmediato IPS S.A.S,3.4227,-76.54635,5248288,"Cra. 41 #17, Cali, Valle del Cauca"
S.A.M.U. LTDA Servicio y Atención Médica de Urgencias Limitada,3.43629,-76.53183,5248868,"Cra. 23 #9E - 53, Bretana, Cali, Valle del Cauca"
IPS Salud Sura Chipichape Cali,3.47384,-76.52755,6080101,"Av. 6 Bis Nte. #35N-64, Santa Monica Residential, Cali, Valle del Cauca"
E.S.E. Red de Salud de Ladera Empresa Social del Estado Hospital Cañaveralejo,3.41898,-76.54522,6080124,"Sede Administrativa, Cl. 5c #43A-13, Cali, Valle del Cauca"
Centro de Salud Siloe,3.41767,-76.55416,6080124,"Av. Circunvalar #50-2 a 50-54, Cali, Valle del Cauca"
Dime Clínica Neurocardiovascular S.A.,3.46158,-76.52906,6600160,"Av. 5 Nte. #20N-75, San Vicente, Cali, Valle del Cauca"
Clínica de Occidente,3.46034,-76.53043,6603000,"Cl. 18 Nte. #5 - 34, San Vicente, Cali, Valle del Cauca"
Clínica Colsanitas S.A Sebastian del Belalcazar,3.4547,-76.53713,6607001,"Av. 4 Nte. #7N-81, Granada, Cali, Valle del Cauca"
Centro de Salud Terron Colorado,3.45505,-76.56047,8942340,"Av. 8a Oe. #19 Oeste103, Terron Colorado, Cali, Valle del Cauca"
Clínica Desa S.A.S,3.42332,-76.54242,323814161,"Cl. 5d #38a 35, San Fernando, Cali, Valle del Cauca"
Clínica Versalles Sede San Marcos,3.46417,-76.52806,924184444,"Av. 5a Nte. #23N-46/57, San Vicente, Cali, Valle del Cauca"
Coomeva Medicina Prepagada S.A - CEM Coomeva Emergencia Médica,3.34889,-76.53003,3162574237,"Cl. 18 #118-150, Barrio Pance, Cali, Valle del Cauca"
Clínica Valle Salud,3.4615,-76.5305,3167411881,AVENIDA 4NORTE 14 -20
Traumaoriente del Valle,3.42087,-76.53847,3172875171,"Cra. 40 #9-15, Los Cambulos, Cali, Valle del Cauca"
Occisalud S.A.S,3.44756,-76.49876,3173706656,"Cra. 12a #52-32, Comuna 8, Cali, Valle del Cauca"
Urgencias Vallesalud San Fernando SAS,3.42081,-76.53906,3184675481,"Cl. 9 #39-40, Los Cambulos, Cali, Valle del Cauca"
Clínica Valle Salud Sede Sur,3.45701,-76.53223,3187124348,"Av. 4 Nte. #14 - 20, Granada, Cali, Valle del Cauca"
Clínica Nueva Rafael Uribe Uribe SAS,3.46666,-76.52467,032 485 0115,"Av. 3 Bis Nte. #23d Norte-2 a 23d Norte-118, San Vicente, Cali, Valle del Cauca"
E.S.E. Hospital Departamental Mario Correa Rengifo,3.38704,-76.55804,3180020,"C. 2a Oe. #76-35, Prados Del Sur, Cali, Valle del Cauca"
EPS Sanitas Centro Médico Unidad de Urgencias Cali,3.41933,-76.5433,318-2139829,"Av. Roosevelt #43-18, Cali, Valle del Cauca"
Fundación Valle del Lili Sede Limonar,3.39334,-76.52557,3319090,"Cra. 70 #18-75, El Limonar, Cali, Valle del Cauca"
E.S.E. Red de Salud del Oriente Empresa Social del Estado Hospital Carlos Holmes Trujillo,3.44134,-76.48882,4377777,"Cl. 79a #2349, Lleras Restrepo, Cali, Valle del Cauca"
Centro de Salud Decepaz,3.42287,-76.4637,4377777,"123, Carrera 16 #43a10, Cali, Valle del Cauca"
E.S.E. Red de Salud del Centro Empresa Social del Estado Hospital Primitivo Iglesias,3.44322,-76.51013,3157315830,"Cra. 16a #33d - 20, Comuna 8, Cali, Valle del Cauca"
Centro de Salud Luis H. Garces,3.42854,-76.51178,3157315830,"Cl. 32 #2833, Villanueva, Cali, Valle del Cauca"
E.S.E. Red de Salud del Norte Empresa Social del Estado Hospital Joaquin Paz Borrero,3.46427,-76.50338,4884646,"Calle 46C #3B00, Salomia, Cali, Valle del Cauca"
