year,comuna,hour,weekday,month,count
2010,1,0,0,7,1
2010,1,0,0,9,1
2010,1,0,1,3,1
2010,1,0,1,5,2
2010,1,0,1,6,1
2010,1,0,1,8,1
2010,1,0,1,10,1
2010,1,0,1,11,1
2010,1,0,2,5,3
2010,1,0,2,6,1
2010,1,0,2,11,1
2010,1,0,2,12,1
2010,1,0,3,10,1
2010,1,0,4,6,1
2010,1,0,4,7,2
2010,1,0,5,1,1
2010,1,0,5,7,1
2010,1,0,5,10,1
2010,1,0,5,11,1
2010,1,0,6,10,1
2010,1,1,5,3,1
2010,1,1,5,6,1
2010,1,1,6,8,6
2010,1,1,6,10,1
2010,1,2,0,3,2
2010,1,2,0,6,1
2010,1,2,0,11,1
2010,1,2,5,2,1
2010,1,2,5,3,1
2010,1,2,5,5,1
2010,1,2,6,1,1
2010,1,2,6,4,1
2010,1,2,6,7,1
2010,1,3,1,8,1
2010,1,3,2,9,1
2010,1,3,6,8,1
2010,1,4,5,2,2
2010,1,4,6,5,1
2010,1,5,6,3,1
2010,1,5,6,11,1
2010,1,6,1,9,1
2010,1,6,1,12,1
2010,1,6,2,5,1
2010,1,6,4,1,1
2010,1,6,6,4,1
2010,1,7,0,8,1
2010,1,7,2,3,1
2010,1,7,2,7,1
2010,1,7,4,1,1
2010,1,8,2,12,1
2010,1,8,3,6,1
2010,1,8,5,2,1
2010,1,8,6,10,1
2010,1,8,6,11,1
2010,1,9,0,5,1
2010,1,9,1,6,1
2010,1,9,2,4,1
2010,1,9,2,7,1
2010,1,9,2,12,1
2010,1,9,4,9,1
2010,1,9,5,9,1
2010,1,9,6,2,1
2010,1,10,1,7,1
2010,1,10,2,7,1
2010,1,10,3,5,1
2010,1,10,3,9,1
2010,1,10,4,1,2
2010,1,10,5,12,1
2010,1,10,6,7,1
2010,1,11,0,5,1
2010,1,11,2,2,1
2010,1,11,2,8,1
2010,1,11,2,11,1
2010,1,11,3,6,1
2010,1,11,3,11,1
2010,1,11,4,3,1
2010,1,11,4,6,1
2010,1,11,4,12,2
2010,1,11,5,6,1
2010,1,11,5,9,1
2010,1,11,6,1,2
2010,1,11,6,2,1
2010,1,11,6,9,1
2010,1,12,0,10,1
2010,1,12,2,10,1
2010,1,12,2,12,1
2010,1,12,3,1,1
2010,1,12,3,6,1
2010,1,12,3,9,1
2010,1,12,3,12,1
2010,1,12,5,1,1
2010,1,12,6,7,1
2010,1,12,6,12,1
2010,1,13,0,4,1
2010,1,13,2,2,1
2010,1,13,3,3,1
2010,1,13,3,9,1
2010,1,13,3,10,1
2010,1,13,6,10,1
2010,1,13,6,11,2
2010,1,14,2,3,1
2010,1,14,3,3,1
2010,1,14,3,11,1
2010,1,14,4,1,1
2010,1,14,4,12,1
2010,1,14,5,3,1
2010,1,14,5,9,3
2010,1,14,6,8,1
2010,1,14,6,11,1
2010,1,15,0,4,1
2010,1,15,1,2,1
2010,1,15,1,11,1
2010,1,15,2,6,1
2010,1,15,2,8,2
2010,1,15,2,9,1
2010,1,15,3,5,1
2010,1,15,6,4,1
2010,1,15,6,6,1
2010,1,16,0,11,1
2010,1,16,1,10,1
2010,1,16,2,8,1
2010,1,16,3,9,3
2010,1,16,4,6,1
2010,1,16,5,2,1
2010,1,16,5,4,1
2010,1,16,5,8,1
2010,1,16,5,11,1
2010,1,16,6,9,1
2010,1,17,2,10,1
2010,1,17,3,1,1
2010,1,17,3,4,1
2010,1,17,3,6,1
2010,1,17,3,7,1
2010,1,17,4,2,1
2010,1,17,4,7,2
2010,1,17,4,12,1
2010,1,17,5,3,1
2010,1,17,5,8,1
2010,1,17,5,9,2
2010,1,17,5,12,1
2010,1,18,0,1,1
2010,1,18,0,6,1
2010,1,18,0,10,1
2010,1,18,1,7,1
2010,1,18,2,11,1
2010,1,18,5,7,1
2010,1,18,6,4,1
2010,1,18,6,8,1
2010,1,19,0,2,1
2010,1,19,0,11,1
2010,1,19,4,5,1
2010,1,19,4,6,1
2010,1,19,6,5,1
2010,1,19,6,8,1
2010,1,20,0,8,2
2010,1,20,0,11,2
2010,1,20,1,10,1
2010,1,20,1,12,1
2010,1,20,3,5,1
2010,1,20,3,9,1
2010,1,20,4,11,2
2010,1,20,5,2,1
2010,1,20,5,6,1
2010,1,20,5,8,1
2010,1,20,6,1,3
2010,1,20,6,8,1
2010,1,21,0,3,1
2010,1,21,0,5,2
2010,1,21,1,11,1
2010,1,21,2,5,1
2010,1,21,3,4,1
2010,1,21,3,5,1
2010,1,21,4,8,1
2010,1,21,5,7,1
2010,1,21,5,10,1
2010,1,21,5,11,1
2010,1,21,6,1,1
2010,1,21,6,3,2
2010,1,21,6,11,1
2010,1,22,1,3,1
2010,1,22,1,8,2
2010,1,22,1,9,1
2010,1,22,2,9,1
2010,1,22,4,2,1
2010,1,22,4,3,1
2010,1,23,1,3,1
2010,1,23,2,9,1
2010,1,23,3,1,1
2010,1,23,3,8,1
2010,1,23,6,5,1
2010,2,0,0,4,2
2010,2,0,0,6,1
2010,2,0,0,10,2
2010,2,0,1,6,1
2010,2,0,2,1,1
2010,2,0,2,2,1
2010,2,0,2,5,1
2010,2,0,2,6,2
2010,2,0,2,10,2
2010,2,0,2,11,1
