barrio,comuna,count
San Pedro,3,7295
San Nicolás,3,4747
San Vicente,2,2972
Lili,17,2621
El Calvario,3,2580
San Fernando Nuevo,19,2565
Sucre,9,2355
San Fernando Viejo,19,2310
Ciudad Córdoba,15,2270
Versalles,2,1996
El Lido,19,1979
Urbanización Tequendama,19,1965
La Flora,2,1942
Granada,2,1849
Junín,9,1815
El Ingenio,17,1808
Calima,4,1801
Parcelaciones Pance,22,1787
San Juan Bosco,3,1782
Santa Mónica,2,1717
Prados del Norte,2,1633
Chipichape,2,1615
Alfonso Bonilla Aragón,14,1552
San Antonio,3,1548
El Sena,5,1542
Caney,17,1505
Barrio Obrero,9,1503
Mojica,15,1397
Terrón Colorado,1,1396
Santa Rosa,3,1378
Manuela Beltrán,14,1376
Vipasa,2,1372
Nueva Floresta,12,1351
Ciudad Capri,17,1351
Alameda,9,1323
Centenario,2,1317
Guayaquil,9,1313
Valle Grande,21,1299
La Merced,3,1272
El Morichal,15,1234
Urbanización Ciudad Jardín,22,1231
Antonio Nariño,16,1221
El Limonar,17,1219
Ciudadela Floralia,6,1204
El Cedro,19,1169
Urbanización San Joaquin,17,1153
Pampa Linda,19,1150
Mariano Ramos,16,1144
Nueva Tequendama,19,1085
Calimio Desepaz,21,1080
Villa Colombia,8,1076
El Guabal,10,1067
San Pascual,3,1066
Santa Elena,10,1058
El Refugio,19,1055
El Troncal,8,1054
Bretaña,9,1042
Prados Del Norte,2,1024
La Hacienda,17,997
Unicentro Cali,17,983
