name,lat,lon,phone,address
CAI Villa del Sur,3.40963,-76.51881,3105155709,"Cra. 46 #26b-156 a 26b-200, Villa Delsur, Cali, Valle del Cauca"
CAI San Marino,3.46262,-76.48553,3105325024,"Cl. 69 #7c-4, Fepicol, Cali, Valle del Cauca"
ESTACION DE POLICIA  EL GUABAL,3.41297,-76.52734,3105325103,"Cra. 44 #14B-49, Comuna 10, Cali, Valle del Cauca"
CAI Mojica,3.4176,-76.48608,3105238713,"Cl. 82 #28d-1-157, El Poblado II, Cali, Valle del Cauca"
CAI Paso del Comercio,3.492,-76.48572,3105305902,"Cra. 1 Nte. con Cl. 73, Paso del Comercio, Cali"
CAI PETAR,3.47166,-76.48219,3105296263,"Cl. 73, Jorge Eliecer Gaitan, Cali, Palmira, Valle del Cauca"
CAI San Antonio,3.44695,-76.54168,3014670733,"Carrera 10 #Calle 1 Oeste, Cali, Valle del Cauca"
CAI Loma de la Cruz,3.44302,-76.53747,3105287733,"Carrera 16A Esquina Calle 5, COMUNA 3, Cali, Valle del Cauca"
CAI SAN NICOLAS,3.45423,-76.52513,3105312699,"Avenida 6 #19-20, COMUNA 3, Cali, Valle del Cauca"
CAI Obrero,3.44959,-76.52048,3105273858,"Cra. 10 #22a-56 a 22a-104, Cali, Valle del Cauca"
CAI Chipichape,3.47277,-76.52634,3105304022,"Av. 6 Bis Nte. #35 Norte34, San Vicente, Cali, Valle del Cauca"
CAI La Merced,3.48152,-76.5094,3105315875,"Avenida 2N con Calle 52N, La Merced, Cali, Valle del Cauca"
CAI Plaza Norte,3.47767,-76.51687,3105316935,"Cl. 44 Nte. #2g Norte-109 a 2g Norte-49, La Merced, Cali, Valle del Cauca"
CAI AMBIENTAL,3.4503,-76.5615,3105325691,"Vía al Mar, Arboledas / Santa Teresita, Cali"
CAI El Cortijo,3.41779,-76.55982,3105325624,"Cra. 51 #7-33, Lleras Camargo, Cali, Valle del Cauca"
CAI GALERIAS,3.40158,-76.52378,3105300623,"Cra. 56 # 18 A - 80 Local 40, Comuna 17, Cali, Valle del Cauca"
