conflictividad,year,month,count
Hurto persona,2010,1,495
Hurto persona,2010,2,460
Hurto persona,2010,3,497
Hurto persona,2010,4,469
Hurto persona,2010,5,480
Hurto persona,2010,6,441
Hurto persona,2010,7,514
Hurto persona,2010,8,481
Hurto persona,2010,9,504
Hurto persona,2010,10,486
Hurto persona,2010,11,450
Hurto persona,2010,12,394
Hurto persona,2011,1,557
Hurto persona,2011,2,515
Hurto persona,2011,3,575
Hurto persona,2011,4,553
Hurto persona,2011,5,587
Hurto persona,2011,6,516
Hurto persona,2011,7,496
Hurto persona,2011,8,564
Hurto persona,2011,9,551
Hurto persona,2011,10,599
Hurto persona,2011,11,483
Hurto persona,2011,12,565
Hurto persona,2012,1,576
Hurto persona,2012,2,568
Hurto persona,2012,3,574
Hurto persona,2012,4,559
Hurto persona,2012,5,508
Hurto persona,2012,6,478
Hurto persona,2012,7,517
Hurto persona,2012,8,519
Hurto persona,2012,9,521
Hurto persona,2012,10,520
Hurto persona,2012,11,520
Hurto persona,2012,12,495
Hurto persona,2013,1,644
Hurto persona,2013,2,731
Hurto persona,2013,3,635
Hurto persona,2013,4,681
Hurto persona,2013,5,718
Hurto persona,2013,6,674
Hurto persona,2013,7,683
Hurto persona,2013,8,690
Hurto persona,2013,9,681
Hurto persona,2013,10,699
Hurto persona,2013,11,624
Hurto persona,2013,12,553
Hurto persona,2014,1,660
Hurto persona,2014,2,596
Hurto persona,2014,3,691
Hurto persona,2014,4,609
Hurto persona,2014,5,805
Hurto persona,2014,6,609
Hurto persona,2014,7,665
Hurto persona,2014,8,718
Hurto persona,2014,9,647
Hurto persona,2014,10,685
Hurto persona,2014,11,665
Hurto persona,2014,12,613
Hurto persona,2015,1,682
Hurto persona,2015,2,573
Hurto persona,2015,3,621
Hurto persona,2015,4,654
Hurto persona,2015,5,650
Hurto persona,2015,6,557
Hurto persona,2015,7,549
Hurto persona,2015,8,568
Hurto persona,2015,9,616
Hurto persona,2015,10,709
Hurto persona,2015,11,695
Hurto persona,2015,12,593
Hurto persona,2016,1,783
Hurto persona,2016,2,764
Hurto persona,2016,3,663
Hurto persona,2016,4,710
Hurto persona,2016,5,750
Hurto persona,2016,6,721
Hurto persona,2016,7,757
Hurto persona,2016,8,697
Hurto persona,2016,9,777
Hurto persona,2016,10,827
Hurto persona,2016,11,732
Hurto persona,2016,12,871
Hurto persona,2017,1,936
Hurto persona,2017,2,862
Hurto persona,2017,3,965
Hurto persona,2017,4,901
Hurto persona,2017,5,987
Hurto persona,2017,6,955
Hurto persona,2017,7,988
Hurto persona,2017,8,1142
Hurto persona,2017,9,1114
Hurto persona,2017,10,1129
Hurto persona,2017,11,1061
Hurto persona,2017,12,1318
Hurto persona,2018,1,1079
Hurto persona,2018,2,1163
Hurto persona,2018,3,1066
Hurto persona,2018,4,1263
Hurto persona,2018,5,1228
Hurto persona,2018,6,1094
Hurto persona,2018,7,1142
Hurto persona,2018,8,1370
Hurto persona,2018,9,1269
Hurto persona,2018,10,1295
Hurto persona,2018,11,1170
Hurto persona,2018,12,1175
Hurto persona,2019,1,1222
Hurto persona,2019,2,1470
Hurto persona,2019,3,1613
Hurto persona,2019,4,1587
Hurto persona,2019,5,1769
Hurto persona,2019,6,1417
Hurto persona,2019,7,1530
Hurto persona,2019,8,1591
Hurto persona,2019,9,1472
Hurto persona,2019,10,1652
Hurto persona,2019,11,1551
Hurto persona,2019,12,1705
Hurto persona,2020,1,1718
Hurto persona,2020,2,1309
Hurto persona,2020,3,946
Hurto persona,2020,4,299
Hurto persona,2020,5,567
Hurto persona,2020,6,813
Hurto persona,2020,7,959
Hurto persona,2020,8,895
Hurto persona,2020,9,982
Hurto persona,2020,10,1197
Hurto persona,2020,11,1238
Hurto persona,2020,12,985
Hurto persona,2021,1,970
Hurto persona,2021,2,1096
Hurto persona,2021,3,1261
Hurto persona,2021,4,1194
Hurto persona,2021,5,1242
Hurto persona,2021,6,1527
Hurto persona,2021,7,1415
Hurto persona,2021,8,1334
Hurto persona,2021,9,1377
Hurto persona,2021,10,1566
Hurto persona,2021,11,1656
Hurto persona,2021,12,1502
Hurto persona,2022,1,1273
Hurto persona,2022,2,1563
Hurto persona,2022,3,1681
Hurto persona,2022,4,1541
Hurto persona,2022,5,1596
Hurto persona,2022,6,1482
Hurto persona,2022,7,1395
Hurto persona,2022,8,2000
Hurto persona,2022,9,2304
Hurto persona,2022,10,2520
Hurto persona,2022,11,2220
Hurto persona,2022,12,2004
Hurto persona,2023,1,1927
Hurto persona,2023,2,1849
Hurto persona,2023,3,2191
Hurto persona,2023,4,1974
Hurto persona,2023,5,2029
Hurto persona,2023,6,2139
Hurto persona,2023,7,2044
Hurto persona,2023,8,2215
Hurto persona,2023,9,2120
Hurto persona,2023,10,2045
Hurto persona,2023,11,1849
Hurto persona,2023,12,1438
Hurto persona,2024,1,1860
Hurto persona,2024,2,1807
Hurto persona,2024,3,1621
Hurto persona,2024,4,1789
Hurto persona,2024,5,1823
Hurto persona,2024,6,1539
Hurto persona,2024,7,1669
Hurto persona,2024,8,1737
Hurto persona,2024,9,1614
Hurto persona,2024,10,1661
Hurto persona,2024,11,1645
Hurto persona,2024,12,1859
Hurto persona,2025,1,1421
Hurto persona,2025,2,1515
Hurto persona,2025,3,1716
Hurto persona,2025,4,1578
Hurto persona,2025,5,1675
Hurto persona,2025,6,1446
Hurto persona,2025,7,1630
Hurto persona,2025,8,1590
Hurto persona,2025,9,1643
Hurto persona,2025,10,1865
Hurto persona,2025,11,1657
Hurto persona,2025,12,1518
Hurto persona,2026,1,1518
Hurto persona,2026,2,1466
Hurto persona,2026,3,1531
Hurto persona,2026,4,1390
