date,hour,comuna,barrio,modalidad,sitio
2026-04-30,23,2,Prados del Norte,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,22,22,Parcelaciones Pance,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,22,11,Prados de Oriente,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,21,13,Omar Torrijos,Sin arma (atraco directo),Comercio
2026-04-30,20,9,Bretaña,Arma de fuego,Otro / sin clasificar
2026-04-30,20,3,San Juan Bosco,Arma blanca,Otro / sin clasificar
2026-04-30,20,17,El Gran Limonar - Cataya,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,20,9,Bretaña,Arma de fuego,Otro / sin clasificar
2026-04-30,19,5,Los Parques Barranquilla,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,19,17,Bosques del Limonar,Arma de fuego,Otro / sin clasificar
2026-04-30,18,3,San Nicolás,Sin arma (atraco directo),Comercio
2026-04-30,18,2,Juanambú,Arma blanca,Otro / sin clasificar
2026-04-30,18,8,La Floresta,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,18,3,San Nicolás,Arma de fuego,Otro / sin clasificar
2026-04-30,18,8,Primitivo Crespo,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,17,3,San Pedro,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,16,4,Popular,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,16,,Rural,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,16,14,Manuela Beltrán,Arma blanca,Otro / sin clasificar
2026-04-30,16,19,El Refugio,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,16,9,Bretaña,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,15,5,Metropolitano del Norte,Arma de fuego,Otro / sin clasificar
2026-04-30,14,17,Prados del Limonar,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,14,14,José Manuel Marroquín I,Arma de fuego,Otro / sin clasificar
2026-04-30,14,3,San Pedro,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,14,9,Junín,Arma de fuego,Otro / sin clasificar
2026-04-30,13,17,Ciudadela Comfandi,Arma de fuego,Otro / sin clasificar
2026-04-30,13,2,Prados del Norte,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,12,9,Alameda,Arma de fuego,Otro / sin clasificar
2026-04-30,12,10,Panamericano,Arma de fuego,Otro / sin clasificar
2026-04-30,11,17,Ciudad Capri,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,9,17,La Hacienda,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,9,19,3 de Julio,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,9,10,El Guabal,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,9,4,Salomia,Arma de fuego,Otro / sin clasificar
2026-04-30,8,21,Planta de Tratamiento,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,8,14,José Manuel Marroquín I,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,8,11,El Prado,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,7,12,Sindical,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,7,17,Unicentro Cali,Arma de fuego,Otro / sin clasificar
2026-04-30,6,14,Alfonso Bonilla Aragón,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,4,1,Terrón Colorado,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,4,17,Ciudad Capri,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,3,12,El Rodeo,Arma de fuego,Otro / sin clasificar
2026-04-30,3,7,Alfonso Lopez P. 1a Etapa,Arma de fuego,Otro / sin clasificar
2026-04-30,2,9,Junín,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,2,17,El Limonar,Sin arma (atraco directo),Otro / sin clasificar
2026-04-30,0,19,Cañaveralejo - Seguros Patria,Arma de fuego,Otro / sin clasificar
2026-04-29,22,10,Olímpico,Arma de fuego,Otro / sin clasificar
2026-04-29,21,8,Villa Colombia,Sin arma (atraco directo),Comercio
