year,month,count
2003,1,1
2003,2,3
2003,3,11
2003,4,6
2003,5,2
2003,6,1
2003,8,1
2004,1,1
2004,2,1
2004,4,6
2004,5,2
2004,6,13
2004,7,12
2004,8,4
2004,9,7
2004,10,8
2004,11,3
2004,12,4
2005,1,9
2005,2,7
2005,3,7
2005,4,21
2005,5,12
2005,6,13
2005,7,36
2005,8,13
2005,9,20
2005,10,8
2005,11,5
2005,12,5
2006,1,35
2006,2,40
2006,3,48
2006,4,58
2006,5,45
2006,6,71
2006,7,91
2006,8,177
2006,9,214
2006,10,183
2006,11,167
2006,12,150
2007,1,244
2007,2,211
2007,3,165
2007,4,116
2007,5,129
2007,6,153
2007,7,152
2007,8,94
2007,9,114
2007,10,91
2007,11,52
2007,12,7
2008,1,254
2008,2,189
2008,3,182
2008,4,179
2008,5,245
2008,6,169
2008,7,204
2008,8,157
2008,9,86
2008,10,105
2008,11,61
2008,12,57
2009,1,174
2009,2,29
2009,3,176
2009,4,94
2009,5,141
2009,6,135
2009,7,148
2009,8,146
2009,9,121
2009,10,75
2009,11,139
2009,12,57
2010,1,167
2010,2,98
2010,3,64
2010,4,61
2010,5,204
2010,6,114
2010,7,157
2010,8,84
2010,9,220
2010,10,89
2010,11,51
2010,12,76
2011,1,69
2011,2,228
2011,3,191
2011,4,178
2011,5,142
2011,6,66
2011,7,256
2011,8,282
2011,9,145
2011,10,195
2011,11,137
2011,12,47
2012,1,302
2012,2,217
2012,3,253
2012,4,258
2012,5,239
2012,6,178
2012,7,161
2012,8,211
2012,9,248
2012,10,38
2012,11,92
2012,12,23
2013,1,357
2013,2,256
2013,3,180
2013,4,152
2013,5,217
2013,6,194
2013,7,110
2013,8,79
2013,9,104
2013,10,43
2013,11,16
2013,12,8
2014,1,257
2014,2,218
2014,3,185
2014,4,131
2014,5,272
2014,6,300
2014,7,88
2014,8,33
2014,9,167
2014,10,197
2014,11,31
2014,12,51
2015,1,194
2015,2,225
2015,3,199
2015,4,214
2015,5,229
2015,6,245
2015,7,242
2015,8,210
2015,9,206
2015,10,233
2015,11,164
2015,12,179
2016,1,271
2016,2,246
2016,3,255
2016,4,202
2016,5,270
2016,6,221
2016,7,173
2016,8,245
2016,9,239
2016,10,202
2016,11,220
2016,12,218
2017,1,267
2017,2,265
2017,3,281
2017,4,241
2017,5,288
2017,6,204
2017,7,206
2017,8,229
2017,9,261
2017,10,218
2017,11,231
2017,12,86
2018,1,257
2018,2,207
2018,3,227
2018,4,270
2018,5,235
2018,6,212
2018,7,244
2018,8,245
2018,9,235
2018,10,287
2018,11,254
2018,12,188
2019,1,268
2019,2,205
2019,3,269
2019,4,249
2019,5,294
2019,6,335
2019,7,406
2019,8,421
2019,9,452
2019,10,436
2019,11,332
2019,12,339
2020,1,381
2020,2,325
2020,3,170
2020,4,152
2020,5,259
2020,6,208
2020,7,225
2020,8,228
2020,9,263
2020,10,278
2020,11,257
2020,12,255
2021,1,312
2021,2,325
2021,3,302
2021,4,260
2021,5,269
2021,6,254
2021,7,317
2021,8,295
2021,9,356
2021,10,275
2021,11,283
2021,12,281
2022,1,365
2022,2,334
2022,3,381
2022,4,250
2022,5,180
2022,6,191
2022,7,205
2022,8,251
2022,9,293
2022,10,300
2022,11,279
2022,12,232
2023,1,188
2023,2,188
2023,3,175
2023,4,195
2023,5,250
2023,6,228
2023,7,255
2023,8,304
2023,9,386
2023,10,388
2023,11,315
2023,12,320
2024,1,342
2024,2,287
2024,3,273
2024,4,332
2024,5,312
2024,6,333
2024,7,344
2024,8,344
2024,9,349
2024,10,418
2024,11,293
2024,12,174
2025,1,318
2025,2,282
2025,3,282
2025,4,302
2025,5,230
2025,6,284
2025,7,358
2025,8,397
2025,9,394
2025,10,311
2025,11,271
2025,12,141
2026,1,310
2026,2,284
2026,3,340
2026,4,309
2026,5,265
